Date,Product,Product Family,Platform,Article,Download,Severity,Impact,Details
10/17/2017,Adobe Flash Player,Adobe,Windows 10 Version 1511 for 32-bit Systems,4049179,Security Update,Critical,Remote Code Execution,ADV170018
10/17/2017,Adobe Flash Player,Adobe,Windows 8.1 for 32-bit systems,4049179,Security Update,Critical,Remote Code Execution,ADV170018
10/17/2017,Adobe Flash Player,Adobe,Windows 8.1 for x64-based systems,4049179,Security Update,Critical,Remote Code Execution,ADV170018
10/17/2017,Adobe Flash Player,Adobe,Windows Server 2012,4049179,Security Update,Critical,Remote Code Execution,ADV170018
10/17/2017,Adobe Flash Player,Adobe,Windows 10 Version 1511 for x64-based Systems,4049179,Security Update,Critical,Remote Code Execution,ADV170018
10/17/2017,Adobe Flash Player,Adobe,Windows 10 Version 1607 for x64-based Systems,4049179,Security Update,Critical,Remote Code Execution,ADV170018
10/17/2017,Adobe Flash Player,Adobe,Windows 10 Version 1607 for 32-bit Systems,4049179,Security Update,Critical,Remote Code Execution,ADV170018
10/17/2017,Adobe Flash Player,Adobe,Windows 10 for x64-based Systems,4049179,Security Update,Critical,Remote Code Execution,ADV170018
10/17/2017,Adobe Flash Player,Adobe,Windows Server 2012 R2,4049179,Security Update,Critical,Remote Code Execution,ADV170018
10/17/2017,Adobe Flash Player,Adobe,Windows 10 for 32-bit Systems,4049179,Security Update,Critical,Remote Code Execution,ADV170018
10/17/2017,Adobe Flash Player,Adobe,Windows RT 8.1,4049179,Security Update,Critical,Remote Code Execution,ADV170018
10/17/2017,Adobe Flash Player,Adobe,Windows Server 2016,4049179,Security Update,Critical,Remote Code Execution,ADV170018
10/17/2017,Adobe Flash Player,Adobe,Windows 10 Version 1703 for x64-based Systems,4049179,Security Update,Critical,Remote Code Execution,ADV170018
10/17/2017,Adobe Flash Player,Adobe,Windows 10 Version 1703 for 32-bit Systems,4049179,Security Update,Critical,Remote Code Execution,ADV170018
10/17/2017,Adobe Flash Player,Adobe,Windows 10 Version 1709 for 32-bit Systems,4049179,Security Update,Critical,Remote Code Execution,ADV170018
10/17/2017,Adobe Flash Player,Adobe,Windows 10 Version 1709 for 64-based Systems,4049179,Security Update,Critical,Remote Code Execution,ADV170018
10/16/2017,Windows Server 2008 for 32-bit Systems Service Pack 2,Windows,,4042723,Security Update,Important,Spoofing,CVE-2017-13080
10/16/2017,Windows Server 2008 R2 for x64-based Systems Service Pack 1,Windows,,4041681,Monthly Rollup,Important,Spoofing,CVE-2017-13080
10/16/2017,Windows Server 2008 R2 for x64-based Systems Service Pack 1,Windows,,4041678,Security Only,Important,Spoofing,CVE-2017-13080
10/16/2017,Windows Server 2012 R2 (Server Core installation),Windows,,4041693,Monthly Rollup,Important,Spoofing,CVE-2017-13080
10/16/2017,Windows Server 2012 R2 (Server Core installation),Windows,,4041687,Security Only,Important,Spoofing,CVE-2017-13080
10/16/2017,Windows 10 Version 1511 for 32-bit Systems,Windows,,4041689,Security Update,Important,Spoofing,CVE-2017-13080
10/16/2017,Windows Server 2008 for x64-based Systems Service Pack 2,Windows,,4042723,Security Update,Important,Spoofing,CVE-2017-13080
10/16/2017,Windows 8.1 for 32-bit systems,Windows,,4041693,Monthly Rollup,Important,Spoofing,CVE-2017-13080
10/16/2017,Windows 8.1 for 32-bit systems,Windows,,4041687,Security Only,Important,Spoofing,CVE-2017-13080
10/16/2017,Windows 8.1 for x64-based systems,Windows,,4041693,Monthly Rollup,Important,Spoofing,CVE-2017-13080
10/16/2017,Windows 8.1 for x64-based systems,Windows,,4041687,Security Only,Important,Spoofing,CVE-2017-13080
10/16/2017,Windows Server 2008 R2 for Itanium-Based Systems Service Pack 1,Windows,,4041681,Monthly Rollup,Important,Spoofing,CVE-2017-13080
10/16/2017,Windows Server 2008 R2 for Itanium-Based Systems Service Pack 1,Windows,,4041678,Security Only,Important,Spoofing,CVE-2017-13080
10/16/2017,Windows Server 2012,Windows,,4041690,Monthly Rollup,Important,Spoofing,CVE-2017-13080
10/16/2017,Windows Server 2012,Windows,,4041679,Security Only,Important,Spoofing,CVE-2017-13080
10/16/2017,Windows Server 2008 for x64-based Systems Service Pack 2 (Server Core installation),Windows,,4042723,Security Update,Important,Spoofing,CVE-2017-13080
10/16/2017,Windows Server 2008 for 32-bit Systems Service Pack 2 (Server Core installation),Windows,,4042723,Security Update,Important,Spoofing,CVE-2017-13080
10/16/2017,Windows 10 Version 1511 for x64-based Systems,Windows,,4041689,Security Update,Important,Spoofing,CVE-2017-13080
10/16/2017,Windows 10 Version 1607 for x64-based Systems,Windows,,4041691,Security Update,Important,Spoofing,CVE-2017-13080
10/16/2017,Windows 10 Version 1607 for 32-bit Systems,Windows,,4041691,Security Update,Important,Spoofing,CVE-2017-13080
10/16/2017,Windows 7 for x64-based Systems Service Pack 1,Windows,,4041681,Monthly Rollup,Important,Spoofing,CVE-2017-13080
10/16/2017,Windows 7 for x64-based Systems Service Pack 1,Windows,,4041678,Security Only,Important,Spoofing,CVE-2017-13080
10/16/2017,Windows 10 for x64-based Systems,Windows,,4042895,Security Update,Important,Spoofing,CVE-2017-13080
10/16/2017,Windows Server 2012 (Server Core installation),Windows,,4041690,Monthly Rollup,Important,Spoofing,CVE-2017-13080
10/16/2017,Windows Server 2012 (Server Core installation),Windows,,4041679,Security Only,Important,Spoofing,CVE-2017-13080
10/16/2017,Windows 7 for 32-bit Systems Service Pack 1,Windows,,4041681,Monthly Rollup,Important,Spoofing,CVE-2017-13080
10/16/2017,Windows 7 for 32-bit Systems Service Pack 1,Windows,,4041678,Security Only,Important,Spoofing,CVE-2017-13080
10/16/2017,Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation),Windows,,4041681,Monthly Rollup,Important,Spoofing,CVE-2017-13080
10/16/2017,Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation),Windows,,4041678,Security Only,Important,Spoofing,CVE-2017-13080
10/16/2017,Windows Server 2012 R2,Windows,,4041693,Monthly Rollup,Important,Spoofing,CVE-2017-13080
10/16/2017,Windows Server 2012 R2,Windows,,4041687,Security Only,Important,Spoofing,CVE-2017-13080
10/16/2017,Windows 10 for 32-bit Systems,Windows,,4042895,Security Update,Important,Spoofing,CVE-2017-13080
10/16/2017,Windows RT 8.1,Windows,,4041693,Monthly Rollup,Important,Spoofing,CVE-2017-13080
10/16/2017,Windows Server 2016,Windows,,4041691,Security Update,Important,Spoofing,CVE-2017-13080
10/16/2017,Windows Server 2016  (Server Core installation),Windows,,4041691,Security Update,Important,Spoofing,CVE-2017-13080
10/16/2017,Windows 10 Version 1703 for x64-based Systems,Windows,,4041676,Security Update,Important,Spoofing,CVE-2017-13080
10/16/2017,Windows 10 Version 1703 for 32-bit Systems,Windows,,4041676,Security Update,Important,Spoofing,CVE-2017-13080
10/10/2017,Windows 7 for x64-based Systems Service Pack 1,Windows,,4041681,Monthly Rollup,Important,Information Disclosure,CVE-2017-11772
10/10/2017,Windows 7 for x64-based Systems Service Pack 1,Windows,,4041678,Security Only,Important,Information Disclosure,CVE-2017-11772
10/10/2017,Windows 10 for x64-based Systems,Windows,,4042895,Security Update,Important,Information Disclosure,CVE-2017-11772
10/10/2017,Windows Server 2012 (Server Core installation),Windows,,4041690,Monthly Rollup,Important,Information Disclosure,CVE-2017-11772
10/10/2017,Windows Server 2012 (Server Core installation),Windows,,4041679,Security Only,Important,Information Disclosure,CVE-2017-11772
10/10/2017,Windows 7 for 32-bit Systems Service Pack 1,Windows,,4041681,Monthly Rollup,Important,Information Disclosure,CVE-2017-11772
10/10/2017,Windows 7 for 32-bit Systems Service Pack 1,Windows,,4041678,Security Only,Important,Information Disclosure,CVE-2017-11772
